States,1961-71,1991-2001,1961-71,1971-81,1981-91,1991-2001,1961-71,1991-2001
Andhra Pradesh,2.13,0.21,1.70,2.38,2.57,1.91,2.11,2.49
Bihar,2.00,2.56,1.83,2.15,2.20,2.41,2.44,2.69
Gujarat,2.62,1.22,2.49,3.11,2.31,2.51,3.20,2.83
Haryana, ,1.60, , 3.31,2.64,3.10, ,2.23
Karnataka,2.24,0.39,2.05,2.81,2.41,2.28,2.79,2.57
Kerala,1.76,-0.41,2.71,2.48,1.96,1.25,2.97,2.62
Madhya Pradesh,3.21,1.83,1.85,2.60,2.61,2.23,3.67,2.76
Maharashtra,2.59,1.01,2.22,2.60,2.62,2.40,3.25,4.28
Orissa,3.04,0.76,1.56,2.28,2.30,1.83,2.85,2.87
Punjab, ,0.80, ,2.90,2.21,2.24, ,3.21
Rajasthan,2.81,2.28,2.10,3.08,2.72,2.55,3.16,3.20
Tamil Nadu,2.06,-0.29,1.96,1.98,1.91,1.47,2.26,2.80
Uttar Pradesh,2.14,2.36,1.46,2.29,2.40,2.23,2.54,2.54
West Bengal,2.85,0.67,1.93,2.81,2.42,2.11,2.95,3.26
India,2.46,1.52,1.97,2.30,2.59,2.31,2.80,3.01
