States,2001-11,2011-21,2021-31,2031-41
INDIA,1.77,1.12,0.72,0.46
Andhra Pradesh,1.10,0.65,0.31,0.02
Assam,1.71,0.74,0.77,0.48
Bihar,2.54,1.82,1.34,1.00
Chhattisgarh,2.26,1.17,0.76,0.57
Delhi,2.12,1.00,0.62,0.30
Gujarat,1.93,1.12,0.71,0.44
Haryana,1.99,1.08,0.70,0.44
Himachal Pradesh,1.29,0.64,0.57,0.24
Jammu & Kashmir,2.36,0.88,0.82,0.49
Jharkhand,2.24,1.39,0.97,0.82
Karnataka,1.56,0.75,0.36,0.10
Kerala,0.49,0.66,0.45,0.18
Madhya Pradesh,2.03,1.36,0.81,0.64
Maharashtra,1.60,0.73,0.42,0.15
Odisha,1.40,0.82,0.63,0.38
Punjab,1.39,0.71,0.42,0.11
Rajasthan,2.13,1.47,0.96,0.75
Tamil Nadu,1.56,0.56,0.25,-0.05
Telangana,N/A,0.80,0.53,0.21
Uttar Pradesh,2.02,1.48,0.93,0.73
Uttarakhand,1.88,1.30,0.70,0.50
West Bengal,1.38,0.71,0.50,0.14
